packet_count,byte_count,duration_s,packets_per_sec,bytes_per_sec,mean_inter_arrival,std_inter_arrival,syn_count,synack_count,rst_count,ssh_auth_attempts,protocol
1,130,0.0,0.0,0.0,0.0,0.0,0,0,0,0,17
17,782,232.57602381706238,0.07309437886586156,3.362341427829632,14.536001488566399,4.482006873713397,0,0,0,0,2
5,490,4.005448579788208,1.2482996349598325,122.3333642260636,1.001362144947052,0.0002219545321934454,0,0,0,0,1
5,490,4.006462812423706,1.2479836289745205,122.302395639503,1.0016157031059265,0.001593543137875236,0,0,0,0,1
1,101,0.0,0.0,0.0,0.0,0.0,0,0,0,0,17
1,101,0.0,0.0,0.0,0.0,0.0,0,0,0,0,17
1,117,0.0,0.0,0.0,0.0,0.0,0,0,0,0,17
1,129,0.0,0.0,0.0,0.0,0.0,0,0,0,0,17
5,590,4.004710912704468,1.2485295715448763,147.3264894422954,1.001177728176117,0.00037502736152915774,0,0,0,0,58
5,590,4.006504774093628,1.2479705583605913,147.2605258865498,1.001626193523407,0.0045216509804669874,0,0,0,0,58
1,163,0.0,0.0,0.0,0.0,0.0,0,0,0,0,17
1,233,0.0,0.0,0.0,0.0,0.0,0,0,0,0,17
41,11611,178.46319103240967,0.2297392519029553,65.06103545963937,4.461579775810241,12.466947414623379,0,0,0,0,17
41,12431,178.46290230751038,0.2297396235849212,69.65593318985745,4.461572557687759,12.467228590862959,0,0,0,0,17
1,106,0.0,0.0,0.0,0.0,0.0,0,0,0,0,17
1,106,0.0,0.0,0.0,0.0,0.0,0,0,0,0,17
1,118,0.0,0.0,0.0,0.0,0.0,0,0,0,0,17
1,118,0.0,0.0,0.0,0.0,0.0,0,0,0,0,17
20,4389,170.12573170661926,0.11756011156789539,25.798566483574646,8.95398587929575,20.656088129946173,1,0,3,0,6
1,230,0.0,0.0,0.0,0.0,0.0,0,0,0,0,17
1,120,0.0,0.0,0.0,0.0,0.0,0,0,0,0,17
1,120,0.0,0.0,0.0,0.0,0.0,0,0,0,0,17
24,5525,171.10181546211243,0.1402673603151475,32.29071523921625,7.439209367917932,19.147421554568044,1,0,2,0,6
1,242,0.0,0.0,0.0,0.0,0.0,0,0,0,0,17
1,242,0.0,0.0,0.0,0.0,0.0,0,0,0,0,17
1,254,0.0,0.0,0.0,0.0,0.0,0,0,0,0,17
25,4795,171.09810638427734,0.14611500108511613,28.024857208125276,7.129087766011556,18.739200071429067,1,0,3,0,6
1,208,0.0,0.0,0.0,0.0,0.0,0,0,0,0,17
26,8309,171.05123925209045,0.1520012372531364,48.576087705242706,6.842049570083618,18.48443848775633,1,1,0,0,6
1,220,0.0,0.0,0.0,0.0,0.0,0,0,0,0,17
19,3416,170.04311871528625,0.11173636512638233,20.089022277459055,9.446839928627014,21.11052351693829,1,1,0,0,6
27,10149,170.9813895225525,0.15791192290222142,59.3573372420239,6.576207289328942,18.122346234187436,1,1,0,0,6
3,222,0.024819374084472656,120.87331412103747,8944.625244956773,0.012409687042236328,0.011392831802368164,0,0,0,0,6
2,160,0.0002124309539794922,9414.823793490461,753185.9034792368,0.0002124309539794922,0.0,0,0,0,0,6
2,124,83.0878050327301,0.02407092110824394,1.4923971087111243,83.0878050327301,0.0,0,0,0,0,58
4,600,151.87299728393555,0.02633779586585602,3.950669379878403,50.624332427978516,70.88531158703184,0,0,0,0,0
4,360,124.03654527664185,0.032248560221333954,2.902370419920056,41.34551509221395,55.34452843673493,0,0,0,0,0
